student_key,subject_key,assignment_name,assignment_due_date,assignment_status,grade_feedback,guardian_signature
5811,3,Finally question rate.,2024-11-29,done,B,No
6638,1,Air two.,2025-02-09,not done,C-,n/a
6909,5,Have skin.,2024-12-31,not done,B-,Yes
10341,2,Writer teach follow.,2025-01-13,done,A+,n/a
9572,4,From plan something.,2025-03-01,done,B,Yes
5178,4,Past sing.,2024-09-20,done,A+,No
9258,3,Law carry stage.,2025-02-06,done,D,No
9268,5,Religious student hot.,2024-09-29,done,C,No
3447,6,Pick police and.,2024-10-25,pending,A,No
1530,5,Through wear.,2024-11-19,done,A+,Yes
7544,5,Be memory TV.,2024-09-11,not done,C,No
6996,5,Significant expect.,2024-11-09,pending,A+,Yes
6032,1,Low another western.,2024-12-15,done,A+,n/a
3303,2,Fill they we.,2025-02-22,pending,A,No
3099,6,Health top.,2024-12-05,pending,D,n/a
7216,5,Shoulder exist network.,2024-12-18,pending,A+,n/a
4062,5,Event he thousand alone.,2025-03-03,done,D,n/a
7816,6,Join close.,2024-10-22,not done,A,Yes
9683,1,Knowledge become.,2025-02-06,done,B,No
4470,2,Lay maybe.,2024-12-05,not done,D,n/a
2370,5,Call manage difference seem.,2025-02-24,done,A,n/a
8804,3,Reduce region hold.,2025-02-07,pending,D,Yes
2581,4,Section sing.,2024-12-25,pending,C-,Yes
6156,3,Per hour.,2025-02-06,done,B-,Yes
6549,6,Member without.,2024-10-31,not done,B,n/a
9864,1,Safe state.,2024-11-29,not done,D,n/a
9007,3,Movement task.,2024-09-14,pending,C-,n/a
8276,3,Position hotel politics.,2024-12-31,not done,B-,n/a
7650,2,Return national.,2024-12-01,pending,C,No
8249,3,Pick rule source point.,2025-02-05,not done,B-,n/a
6365,3,Clear writer skin.,2025-02-14,pending,F,No
9777,5,History rate.,2024-12-20,not done,C-,Yes
3956,6,Control.,2024-10-02,not done,F,No
1771,4,Either interview.,2024-11-29,pending,C,Yes
6247,6,Environment beyond production early.,2024-12-21,done,F,n/a
10620,4,Exactly away yard.,2025-01-14,done,D,Yes
5935,3,Similar.,2025-01-18,done,A,Yes
6837,6,Significant purpose draw.,2024-11-25,done,A,n/a
9908,4,Necessary worker population.,2024-10-28,not done,D,Yes
7199,6,Smile time mother.,2025-02-23,not done,B,No
7449,5,Agency guy.,2024-11-11,done,B-,Yes
2318,5,Difficult stand article deep.,2024-12-08,not done,C,Yes
4706,3,Teach open.,2024-11-14,pending,F,Yes
7726,1,Exist next whom.,2025-02-01,done,B,n/a
8593,6,Design their happy treatment.,2025-02-24,done,B,No
6267,3,Office.,2024-11-10,pending,B-,No
3757,5,Ok each.,2024-10-08,not done,D,n/a
3985,2,Green somebody.,2025-02-27,not done,B-,Yes
4322,1,Century public.,2025-02-16,pending,B-,Yes
1487,5,Measure their piece.,2024-10-31,not done,A,No
7854,3,Late many eight.,2025-01-05,done,D,No
6182,1,Wall spring tend.,2025-01-23,not done,C,n/a
1367,2,Along spring.,2025-02-22,done,C,n/a
1302,2,Rule personal short.,2024-09-16,done,A+,Yes
7532,4,Challenge operation husband.,2024-11-16,not done,B,Yes
11652,3,Create public especially.,2025-01-10,not done,F,No
7760,2,List agreement.,2025-01-20,done,C,No
7351,3,Language position skin.,2024-09-23,not done,A,n/a
4812,2,Who first.,2025-03-06,done,A,No
5768,3,Body relate international.,2025-02-07,not done,B-,No
8813,5,Door foreign each military.,2024-09-28,pending,B,Yes
156,2,Now local carry.,2024-11-18,done,A,n/a
11510,1,Play heart admit guess.,2024-12-11,not done,C,Yes
8528,4,Tv.,2025-03-01,not done,B,No
6671,4,Nation deep.,2024-12-16,done,C-,No
9013,1,Right image.,2024-09-20,pending,C,No
11993,5,Mouth account.,2024-10-08,pending,A+,n/a
4264,3,Energy believe happy.,2024-09-16,not done,A,No
2414,5,Not create.,2024-12-30,pending,B,Yes
6115,6,Sister themselves.,2024-09-21,not done,D,n/a
4064,2,Type somebody different.,2025-03-09,done,F,n/a
753,4,There fill.,2025-01-17,done,A,Yes
2102,2,According animal much.,2025-01-17,not done,A,n/a
8949,5,Buy likely.,2025-01-20,done,B,No
765,1,Leg one.,2024-10-24,not done,A+,n/a
2434,6,Avoid town thought.,2024-09-23,done,C,Yes
7862,5,Economic quality.,2025-02-05,done,B,No
10130,2,Kitchen perhaps focus.,2024-11-21,pending,D,n/a
888,6,Safe lay.,2024-10-26,not done,C,No
2863,6,Ahead response cup season.,2024-11-08,done,C,No
1326,6,In all group.,2025-01-14,done,B-,Yes
5779,2,Able meet recently save.,2024-12-04,done,A,No
2711,3,Available response.,2024-10-25,pending,B-,n/a
3060,5,Subject responsibility.,2025-02-28,done,F,n/a
8179,2,Make reveal.,2024-12-27,pending,F,Yes
2041,2,Term.,2025-01-27,pending,C-,No
1984,6,Present soldier fight.,2024-12-10,done,F,Yes
10239,1,Large I.,2024-10-25,done,B-,No
5405,1,From entire role.,2024-11-02,done,C-,Yes
6014,5,Section.,2024-11-21,done,C-,Yes
3735,6,Future back.,2025-01-21,done,A,No
10593,2,Anyone girl ago.,2025-01-18,pending,C,No
7950,1,So condition firm.,2024-12-28,done,A+,Yes
11259,3,Only more.,2024-12-10,done,C,n/a
4675,6,Past civil four.,2025-02-01,not done,A,No
3885,2,Likely go.,2024-09-14,done,A,No
1911,5,Writer expect.,2025-03-06,done,A+,n/a
7387,2,Quite save.,2025-01-14,done,C,n/a
1460,5,Certain.,2024-09-08,done,C,Yes
7904,4,Human weight.,2024-10-17,done,D,n/a
11262,3,Quite skin seek.,2025-01-22,not done,B,n/a
1350,2,Month address once.,2025-03-09,not done,B,n/a
3489,1,Herself institution a.,2024-10-23,not done,C,Yes
679,1,Find.,2024-12-15,done,A+,Yes
5429,6,Produce free.,2024-09-10,done,C,n/a
4644,4,Almost important.,2024-12-07,pending,A,No
2262,4,Carry series.,2024-12-11,done,B,No
1037,6,Tv send.,2024-10-27,not done,C,n/a
10538,4,White stage.,2024-11-03,not done,C,No
6412,3,Difference job heart.,2024-12-16,pending,A,Yes
1837,5,Process budget.,2024-10-05,pending,B,No
9870,1,Try subject.,2025-02-06,not done,B,n/a
3368,2,Military under.,2024-09-27,done,D,No
5853,2,Anything attention.,2024-09-26,done,F,No
9113,5,Director care black.,2025-01-28,done,B-,Yes
2874,3,Effort what fill letter.,2025-02-10,not done,D,No
6709,6,Clear loss own.,2025-02-13,done,B-,No
7486,1,Job civil pressure.,2025-02-08,not done,C,n/a
7232,1,High serve.,2024-10-11,not done,B,No
2407,3,Develop term.,2024-10-18,not done,F,Yes
1186,3,Style subject.,2024-11-07,done,C,Yes
11119,4,Join yeah statement.,2024-11-20,done,A+,n/a
5761,1,Claim budget.,2024-09-29,done,B-,n/a
11449,6,Respond keep church.,2025-01-21,done,A+,Yes
6760,2,Produce provide former discover.,2024-12-18,done,B,Yes
1039,5,Writer land.,2025-02-10,done,F,No
2745,5,Forget police.,2025-01-28,not done,B-,n/a
4016,1,Sea deal sea.,2024-12-04,done,D,Yes
8929,6,Make prove spend compare.,2025-03-07,done,C-,n/a
1108,6,Tend reason authority.,2025-01-19,done,F,n/a
706,1,Operation expect.,2024-12-02,done,B-,No
9524,1,Lawyer social economic.,2024-11-06,not done,F,No
2886,4,Hospital two.,2024-11-27,done,D,Yes
8413,6,Receive window.,2024-09-10,done,C-,n/a
531,5,Fill fact challenge.,2024-12-19,not done,F,Yes
869,3,Sing worry share.,2024-11-17,pending,B-,n/a
3223,6,Occur.,2024-09-17,done,A+,n/a
10609,5,Top born center.,2025-03-07,done,C-,n/a
736,3,Thousand key.,2025-01-20,not done,F,n/a
10599,3,Fall tonight.,2024-12-08,done,F,n/a
5773,4,Career professional.,2024-12-30,not done,A+,No
3079,6,After whom.,2024-09-17,not done,A+,No
6460,1,She cut.,2024-11-06,done,B,No
2286,2,Building role woman.,2024-10-23,done,F,Yes
3558,3,Both though involve.,2025-02-15,not done,B,n/a
4555,2,Skill certainly task.,2025-01-31,done,A,n/a
5138,4,Certainly world perhaps.,2025-01-20,not done,C-,No
9536,2,His long stay action.,2025-02-02,done,D,n/a
4734,2,Smile seven.,2024-11-26,done,F,Yes
9624,4,Mrs ever fight.,2025-02-23,done,D,No
8816,4,Accept need.,2025-02-21,not done,C,Yes
8185,6,Service so.,2024-09-28,done,B,n/a
9909,2,Reality coach still.,2024-11-24,not done,C,No
11466,6,Number.,2025-03-08,done,B-,No
7383,5,To point mouth.,2025-01-21,not done,C,No
7304,5,Girl pressure.,2025-02-10,done,A+,No
8104,2,Brother rest paper.,2025-01-04,not done,B-,n/a
2836,2,Democrat none.,2024-10-07,pending,B,Yes
1046,1,Director theory new.,2024-10-06,done,B,n/a
290,1,Offer back race.,2024-10-06,done,C-,No
6630,2,Manage authority style.,2024-09-22,not done,A,n/a
3709,6,Decade pick fact.,2024-12-28,done,A+,Yes
1601,5,Third green central.,2024-11-01,done,A,n/a
1995,2,Without table.,2024-12-02,done,B,No
11484,5,Fill little walk.,2024-09-17,done,C,n/a
3838,1,Its home mother note.,2024-11-21,done,D,Yes
8815,2,Air keep.,2024-11-06,pending,B,Yes
11615,4,Mind modern animal.,2025-01-08,done,F,n/a
3231,4,Firm appear firm.,2025-02-18,not done,C-,n/a
10173,2,Usually science.,2025-01-20,pending,A+,No
4939,2,Degree large.,2025-01-02,done,B,Yes
9977,3,Project.,2025-01-24,done,C-,Yes
986,2,Building me.,2025-03-03,done,B-,No
1547,1,Note carry produce.,2024-11-24,done,D,Yes
5251,6,Assume early hold student.,2024-11-10,not done,A+,No
9656,3,Common market.,2025-01-04,not done,A+,n/a
6108,6,Forward up.,2025-01-01,not done,A,Yes
8033,1,Such fact home.,2024-12-23,not done,A+,Yes
11599,2,Itself rock.,2024-12-12,done,B,No
7747,2,Marriage ask because market.,2024-12-12,not done,C,No
11191,3,Power across.,2024-10-12,done,B-,No
712,2,Fact coach week.,2024-10-11,pending,C-,n/a
230,5,Glass coach.,2025-01-30,pending,F,No
11118,2,Understand feel thus.,2025-03-04,pending,F,n/a
3281,2,Wife visit of.,2024-12-28,done,A+,No
2697,4,Herself community.,2025-03-09,not done,A,No
5796,5,See decide so.,2025-01-26,pending,A+,No
6682,3,Travel list.,2024-10-16,done,D,Yes
10857,6,Show single part.,2024-09-15,not done,A,n/a
3736,4,Miss.,2025-01-30,done,D,No
8762,1,Herself option agree mother.,2024-12-13,not done,C,No
2699,5,Answer send.,2024-09-25,done,A+,Yes
11689,6,Cut entire wear.,2024-11-29,not done,B,n/a
930,1,Single same far mission.,2024-09-16,done,C,No
5750,3,Future impact really.,2024-12-29,done,A+,No
8725,6,Way officer.,2025-01-06,pending,B,Yes
5506,2,Show represent own.,2024-11-18,pending,C-,No
8009,1,Million miss.,2024-11-19,not done,F,Yes
9409,1,Meet marriage us.,2024-12-09,done,D,No
5536,4,Good true near war.,2024-10-10,done,B-,No
10522,3,Can idea.,2025-01-31,done,B,n/a
952,4,Them also author.,2024-12-24,not done,B-,n/a
9145,6,Force fact.,2024-10-13,done,A+,Yes
171,4,Attorney century.,2025-02-27,pending,C,Yes
1193,1,Free over rule.,2024-12-26,not done,B,n/a
11567,3,When carry.,2025-02-19,not done,B-,Yes
7583,6,Teach stand food.,2025-01-16,done,A,n/a
2886,2,Member our.,2025-01-18,done,A,n/a
547,6,Response out.,2024-12-04,pending,B,No
8280,1,Guess common huge.,2024-12-02,pending,A,n/a
1820,6,Until them.,2025-01-11,pending,C-,No
8205,3,Brother husband.,2024-10-05,done,A+,n/a
9061,5,Say window.,2025-02-14,not done,B-,n/a
3487,5,Cold certain adult.,2024-11-12,done,A+,Yes
10199,6,History player pick.,2024-11-18,done,D,Yes
4175,4,Yes use begin.,2024-09-08,pending,B,No
2003,2,Statement happen summer.,2024-10-14,done,C,No
7791,4,Whom assume television.,2024-11-28,done,A+,n/a
1262,1,Help good.,2024-11-17,done,B,n/a
11158,3,Piece traditional.,2025-02-07,done,A+,No
4532,6,Family Congress easy.,2025-02-23,not done,B-,No
7445,5,Win for.,2025-02-26,done,A+,Yes
5831,1,Little foreign front.,2025-03-06,done,B-,No
11181,1,Fall region.,2025-02-16,done,A+,No
3361,6,At into.,2024-11-02,not done,D,Yes
4271,2,Speak ability central.,2025-02-02,done,A+,No
3861,4,Record.,2025-03-06,done,A,n/a
10597,3,Expect join himself on.,2024-10-11,not done,B,n/a
9878,1,Any.,2025-01-16,not done,A+,Yes
12020,4,Charge least.,2024-12-23,not done,B-,n/a
8175,4,Realize total.,2024-12-02,done,A+,Yes
9125,4,Behind near.,2025-01-13,not done,F,n/a
6591,6,Resource tax their.,2024-10-05,pending,A+,n/a
3229,4,Truth face black.,2024-11-29,done,C-,n/a
9165,4,Decision move.,2024-11-21,pending,C-,Yes
9959,3,Nearly very home.,2025-01-05,done,D,Yes
9318,6,Term scientist serious.,2024-09-11,not done,C-,Yes
10300,1,Stuff.,2024-12-31,not done,C-,Yes
10231,4,Word stage seat.,2025-02-24,not done,B,Yes
10308,5,Field safe former debate.,2024-10-19,not done,B,No
11308,2,Field degree.,2024-12-01,not done,F,n/a
5018,1,Air fact general.,2025-02-24,pending,B,No
11166,6,And call.,2024-11-15,pending,B-,n/a
812,1,Surface.,2025-01-01,pending,B,No
11170,3,Put kitchen.,2025-01-05,done,B-,Yes
903,5,Area role.,2025-01-05,not done,A+,Yes
7346,6,Who hit down.,2024-09-19,done,D,No
4362,6,Or player.,2024-10-14,not done,A+,No
7240,6,Member head never.,2024-12-15,not done,A+,No
2967,6,Price win present.,2024-09-08,done,D,n/a
2428,3,Case.,2024-10-18,done,C-,Yes
6324,2,Nation report.,2024-10-25,not done,B,Yes
2510,3,Rise me finish.,2024-10-24,pending,B-,n/a
564,1,Discuss admit.,2024-12-12,not done,A,Yes
222,2,Interest top.,2024-11-08,done,A,Yes
5117,3,Heart political ahead.,2025-01-20,done,C,Yes
3206,6,Stock reason.,2025-01-30,done,D,n/a
4894,6,Bad discuss.,2025-02-22,done,C,n/a
2576,6,Able Mrs model.,2025-01-08,done,A+,Yes
9085,3,Protect house anything others.,2025-01-30,done,A+,No
2153,6,Behavior similar show light.,2024-12-14,not done,B-,No
3294,3,Decision group gas.,2025-01-10,done,B-,Yes
11200,1,Science.,2024-12-15,done,F,n/a
4048,1,Less car decide.,2024-10-13,not done,C,Yes
11698,5,Oil enter.,2024-11-04,done,A+,n/a
10587,4,Play above.,2024-10-19,not done,B-,No
6793,2,Also three skill.,2024-09-20,done,F,No
6351,2,Various do team.,2024-10-16,pending,D,n/a
3902,6,Newspaper old.,2025-01-05,not done,F,No
2779,4,Entire TV.,2025-02-26,done,B-,Yes
9816,4,Others quickly.,2025-02-20,done,F,n/a
10873,6,Hair offer brother.,2025-01-18,not done,D,n/a
5449,5,Door.,2024-10-26,done,B,n/a
10018,1,All meet.,2024-12-10,done,B-,Yes
7481,2,Affect.,2025-02-15,done,D,n/a
4581,1,Live success.,2024-09-26,done,A+,n/a
2238,3,Rise medical structure.,2024-12-10,done,D,n/a
9131,5,Music hope.,2024-12-18,done,C-,n/a
72,3,Shake throughout.,2024-11-09,done,C,n/a
9293,2,Case plant.,2024-09-08,done,B,No
11057,2,Office young bank whom.,2024-12-20,done,C,Yes
5299,3,Particular knowledge already.,2025-02-27,done,D,Yes
2727,5,Send day without.,2024-11-14,done,B,Yes
10432,4,Two fine.,2025-02-07,done,A+,n/a
7178,4,Name mission reach night.,2024-10-25,done,D,n/a
4260,3,Market much.,2024-09-15,not done,C,No
7751,2,Watch late reveal mouth.,2024-10-17,done,A,No
7686,4,Five most.,2024-12-12,done,A,n/a
5883,5,Window daughter.,2024-12-14,done,B-,No
8558,6,Quite determine.,2025-02-09,done,C,No
7397,1,Really house.,2024-11-30,not done,F,No
6471,1,Good along.,2025-02-21,not done,D,n/a
8852,3,Myself move.,2024-09-15,not done,C-,No
10263,5,Staff now grow.,2024-11-25,not done,A,n/a
5730,5,Put woman.,2024-12-02,done,C,Yes
2221,3,Country learn.,2024-11-03,done,F,No
9452,6,Cell.,2024-12-31,done,F,Yes
6760,1,Federal.,2025-02-20,done,B-,Yes
11354,2,Decide century almost.,2025-01-24,done,F,Yes
8695,3,Cut include couple.,2025-01-24,done,C,Yes
5931,4,Already school.,2025-01-16,pending,C-,n/a
7480,4,To around.,2024-12-25,done,A,No
3783,1,Themselves over national.,2024-10-23,done,A,Yes
1869,3,Wind everyone.,2025-01-22,not done,C-,n/a
4403,5,Focus figure.,2024-10-11,done,F,n/a
10265,5,Drive every.,2024-12-24,done,A+,No
10676,3,Perform woman seat.,2024-12-02,pending,B-,No
2931,2,Ball board.,2025-01-10,done,D,n/a
1616,5,While share impact.,2024-10-01,done,C,No
11761,2,On beyond.,2024-12-24,not done,C-,Yes
1338,4,Wife real matter.,2025-01-22,done,B-,Yes
5220,1,Resource nation soldier.,2025-02-15,not done,A+,Yes
1949,3,Produce physical.,2024-09-13,not done,F,Yes
2936,6,Million site.,2024-10-17,done,B-,n/a
4678,4,Week during.,2024-12-02,not done,F,Yes
2485,3,Coach you treat white.,2025-02-09,done,B,Yes
4696,3,Option common.,2025-01-01,done,A,n/a
10441,6,Carry same law.,2024-09-24,not done,A+,Yes
6494,4,Four eat image.,2025-02-09,not done,B,Yes
6169,6,Car indicate.,2025-02-26,pending,C,Yes
1730,1,Project fall.,2025-02-06,done,A,Yes
7481,6,Natural plan.,2024-11-22,done,C,n/a
7715,4,Foreign leader various especially.,2024-12-14,done,F,n/a
493,2,I tell.,2024-12-08,pending,C,n/a
2902,2,Dream chair.,2024-12-31,pending,A+,Yes
6472,5,Model himself environment most.,2024-12-24,done,B-,n/a
11846,5,Until arrive growth.,2024-09-12,pending,B-,No
8832,6,Design onto letter.,2024-10-14,done,A+,Yes
7964,3,Your call.,2024-12-08,not done,F,Yes
9077,5,Prepare must perform.,2025-02-08,pending,A+,Yes
1018,4,Record year carry.,2024-10-05,pending,D,No
7659,4,Identify skin purpose.,2024-12-26,done,C-,Yes
11004,3,Car.,2024-12-17,done,A,Yes
1237,5,Oil hear north.,2025-02-04,done,C,No
1395,6,Carry be again wear.,2025-03-08,not done,D,Yes
79,5,Here matter since.,2024-10-02,not done,D,n/a
244,2,Son along.,2024-09-10,done,B,No
3773,6,Civil various.,2025-02-13,not done,C,No
515,3,Keep determine trade.,2024-10-25,not done,D,No
11309,6,Court treatment.,2025-01-07,done,D,n/a
10264,2,Face heart prepare.,2024-11-21,not done,B,Yes
7787,5,Many remain try according.,2024-11-19,done,B-,No
6903,6,Dark leg memory.,2025-02-25,done,A,n/a
8661,5,Section identify politics human.,2024-12-04,not done,A,n/a
3020,6,Huge pass tend.,2025-01-27,done,C,Yes
9222,4,Wind.,2024-12-31,not done,C-,n/a
10652,6,Himself key.,2024-11-27,not done,A+,Yes
3184,1,Eight visit sometimes.,2024-11-28,not done,C-,Yes
5384,2,Show sell.,2024-10-13,done,C,Yes
3436,1,Big those.,2024-09-28,done,C-,No
1838,6,Of join along.,2025-01-30,not done,F,No
11808,4,Affect ask.,2024-11-30,not done,B,Yes
3745,4,Firm resource.,2025-01-24,done,A+,Yes
11126,1,Up mean financial here.,2025-01-05,done,A,n/a
4130,3,Believe avoid identify.,2025-03-03,done,C-,Yes
9752,3,Weight record.,2024-11-20,done,D,n/a
5986,4,Role face manage.,2025-01-23,done,A+,No
8041,3,Less hard population.,2024-12-11,done,C-,Yes
9766,5,Song discuss.,2024-11-05,done,C,n/a
8284,1,Investment how memory she.,2025-01-05,not done,D,No
8628,5,Gas.,2024-11-26,done,A,Yes
235,2,Program peace career.,2025-01-29,not done,D,Yes
7297,2,There.,2024-10-05,not done,B,Yes
11539,3,Table Democrat.,2025-02-05,pending,A,Yes
6736,2,Raise ball already.,2024-11-13,not done,C-,n/a
2652,2,Wife.,2025-01-29,not done,A,n/a
11010,3,Democratic few.,2024-10-13,done,A+,n/a
12025,3,Build machine hundred.,2024-09-25,not done,A+,n/a
10396,4,Gun.,2024-09-29,done,B-,Yes
2598,5,Natural analysis lot.,2025-01-23,done,B,Yes
6712,2,Bank small.,2024-10-17,not done,A+,n/a
10841,1,Until.,2024-11-15,pending,A,No
612,6,Produce support.,2024-12-27,not done,C,n/a
3546,6,Build back.,2024-10-02,not done,B-,No
7504,5,Authority dark.,2024-12-25,done,B-,n/a
4155,5,Find particularly indeed be.,2024-10-20,done,C,n/a
4012,1,Indeed mind Mrs.,2024-10-12,done,A,Yes
2691,2,Stop speak.,2025-01-18,pending,A+,n/a
9740,3,Small Mrs state table.,2024-11-06,not done,B,Yes
7572,3,Both attack.,2024-09-15,done,A,Yes
5774,2,Past reduce assume.,2025-02-21,done,D,n/a
3950,6,Usually writer yard.,2025-01-20,done,B,n/a
734,5,Professor through.,2024-10-12,pending,A+,No
11678,6,Option run drug.,2024-10-11,done,A+,Yes
11739,1,All dog talk.,2024-12-02,done,B-,Yes
7502,3,Business quickly health.,2025-01-17,not done,A,No
11133,3,Surface.,2024-11-08,done,A+,n/a
692,3,Professor.,2025-02-27,not done,B,Yes
9010,5,Seven control.,2025-02-21,done,C,Yes
7324,5,Form after wide.,2025-03-05,pending,C,n/a
2200,5,Like agent.,2025-03-08,pending,C-,No
11741,3,Rise security yes.,2024-10-17,done,A+,n/a
2569,5,Choice us.,2025-02-04,done,F,Yes
11089,4,Test size.,2024-12-25,not done,B,n/a
4526,4,Job impact.,2024-11-21,done,C,Yes
