Student_ID,Subject,Assignment_Name,Due_Date,Status,Grade_Feedback,Guardian_Signature
S03060,Math,Subject responsibility.,2/28/2025,done,F, 
S08179,English,Make reveal.,12/27/2024,Pend,F,Yes
S02041,English,Term.,1/27/2025,pending,C-,No
S01984,Science,Present soldier fight.,12/10/2024,done,F,Yes
S10239,Arabic,Large I.,10/25/2024,DONE,B-,No
S05405,Arabic,From entire role.,11/2/2024,Done,C-,Yes
S06014,Math,Section.,11/21/2024,done,C-,Yes
S03735,Science,Future back.,1/21/2025,Done ,A,No
S10593,English,Anyone girl ago.,1/18/2025,Pending,C,No
S07950,Arabic,So condition firm.,12/28/2024,Done,A+,Yes
S11259,Geography,Only more.,12/10/2024,done,C, 
S04675,Science,Past civil four.,2/1/2025, not done ,A,No
S03885,English,Likely go.,9/14/2024,Done,A,No
S01911,Math,Writer expect.,3/6/2025,done,A+, 
S07387,English,Quite save.,1/14/2025, Done ,C, 
S01460,Math,Certain.,9/8/2024,done,C,Yes
S07904,History,Human weight.,10/17/2024, Done ,D, 
S11262,Geography,Quite skin seek.,1/22/2025,Not Done,B, 
S01350,English,Month address once.,3/9/2025,Not Done,B, 
S03489,Arabic,Herself institution a.,10/23/2024,NOT DONE,C,Yes
S00679,Arabic,Find.,12/15/2024,DONE,A+,Yes
S05429,Science,Produce free.,9/10/2024,Done,C, 
S04644,History,Almost important.,12/7/2024,Pend,A,No
S02262,History,Carry series.,12/11/2024,done,B,No
S01037,Science,Tv send.,10/27/2024,Not Done,C, 
S10538,History,White stage.,11/3/2024, not done ,C,No
S06412,Geography,Difference job heart.,12/16/2024,pending,A,Yes
S01837,Math,Process budget.,10/5/2024,PENDING,B,No
S09870,Arabic,Try subject.,2/6/2025,notdone,B, 
S03368,English,Military under.,9/27/2024, Done ,D,No
S05853,English,Anything attention.,9/26/2024, Done ,F,No
S09113,Math,Director care black.,1/28/2025,done,B-,Yes
S02874,Geography,Effort what fill letter.,2/10/2025, not done ,D,No
S06709,Science,Clear loss own.,2/13/2025, Done ,B-,No
S07486,Arabic,Job civil pressure.,2/8/2025,notdone,C, 
S07232,Arabic,High serve.,10/11/2024,Not Done,B,No
S02407,Geography,Develop term.,10/18/2024,notdone,F,Yes
S01186,Geography,Style subject.,11/7/2024,Done,C,Yes
S11119,History,Join yeah statement.,11/20/2024,DONE,A+, 
S05761,Arabic,Claim budget.,9/29/2024,done,B-, 
S11449,Science,Respond keep church.,1/21/2025, Done ,A+,Yes
S06760,English,Produce provide former discover.,12/18/2024,done,B,Yes
S01039,Math,Writer land.,2/10/2025,DONE,F,No
S02745,Math,Forget police.,1/28/2025,notdone,B-, 
S04016,Arabic,Sea deal sea.,12/4/2024,DONE,D,Yes
S08929,Science,Make prove spend compare.,3/7/2025,Done,C-, 
S01108,Science,Tend reason authority.,1/19/2025,Done ,F, 
S00706,Arabic,Operation expect.,12/2/2024,DONE,B-,No
S09524,Arabic,Lawyer social economic.,11/6/2024,Not Done,F,No
S02886,History,Hospital two.,11/27/2024,Done ,D,Yes
S08413,Science,Receive window.,9/10/2024,Done ,C-, 
S00531,Math,Fill fact challenge.,12/19/2024,NOT DONE,F,Yes
S00869,Geography,Sing worry share.,11/17/2024, pending ,B-, 
S03223,Science,Occur.,9/17/2024,done,A+, 
S10609,Math,Top born center.,3/7/2025,Done,C-, 
S00736,Geography,Thousand key.,1/20/2025, not done ,F, 
S10599,Geography,Fall tonight.,12/8/2024,Done,F, 
S05773,History,Career professional.,12/30/2024,notdone,A+,No
S03079,Science,After whom.,9/17/2024,not done,A+,No
S06460,Arabic,She cut.,11/6/2024,Done ,B,No
S02286,English,Building role woman.,10/23/2024,DONE,F,Yes
S03558,Geography,Both though involve.,2/15/2025,not done,B, 
S04555,English,Skill certainly task.,1/31/2025, Done ,A, 
S05138,History,Certainly world perhaps.,1/20/2025, not done ,C-,No
S09536,English,His long stay action.,2/2/2025,Done,D, 
S04734,English,Smile seven.,11/26/2024,done,F,Yes
S09624,History,Mrs ever fight.,2/23/2025,Done,D,No
S08816,History,Accept need.,2/21/2025,notdone,C,Yes
S08185,Science,Service so.,9/28/2024, Done ,B, 
S09909,English,Reality coach still.,11/24/2024,not done,C,No
S11466,Science,Number.,3/8/2025, Done ,B-,No
S07383,Math,To point mouth.,1/21/2025,NOT DONE,C,No
S07304,Math,Girl pressure.,2/10/2025,Done,A+,No
S08104,English,Brother rest paper.,1/4/2025,NOT DONE,B-, 
S02836,English,Democrat none.,10/7/2024,PENDING,B,Yes
S01046,Arabic,Director theory new.,10/6/2024,DONE,B, 
S00290,Arabic,Offer back race.,10/6/2024,Done ,C-,No
S06630,English,Manage authority style.,9/22/2024,not done,A, 
S03709,Science,Decade pick fact.,12/28/2024,Done ,A+,Yes
S01601,Math,Third green central.,11/1/2024, Done ,A, 
S01995,English,Without table.,12/2/2024, Done ,B,No
S11484,Math,Fill little walk.,9/17/2024,Done ,C, 
S03838,Arabic,Its home mother note.,11/21/2024,Done ,D,Yes
S08815,English,Air keep.,11/6/2024,PENDING,B,Yes
S11615,History,Mind modern animal.,1/8/2025,Done,F, 
S03231,History,Firm appear firm.,2/18/2025,Not Done,C-, 
S10173,English,Usually science.,1/20/2025,Pend,A+,No
S04939,English,Degree large.,1/2/2025,Done,B,Yes
S09977,Geography,Project.,1/24/2025, Done ,C-,Yes
S00986,English,Building me.,3/3/2025,done,B-,No
S01547,Arabic,Note carry produce.,11/24/2024, Done ,D,Yes
S05251,Science,Assume early hold student.,11/10/2024,notdone,A+,No
S09656,Geography,Common market.,1/4/2025,notdone,A+, 
S06108,Science,Forward up.,1/1/2025,not done,A,Yes
S08033,Arabic,Such fact home.,12/23/2024,Not Done,A+,Yes
S11599,English,Itself rock.,12/12/2024,DONE,B,No
S07747,English,Marriage ask because market.,12/12/2024,notdone,C,No
S11191,Geography,Power across.,10/12/2024,Done ,B-,No
S00712,English,Fact coach week.,10/11/2024,PENDING,C-, 
S00230,Math,Glass coach.,1/30/2025,pending,F,No
S11118,English,Understand feel thus.,3/4/2025,Pending,F, 
S03281,English,Wife visit of.,12/28/2024, Done ,A+,No
S02697,History,Herself community.,3/9/2025,not done,A,No
S05796,Math,See decide so.,1/26/2025,pending,A+,No
S06682,Geography,Travel list.,10/16/2024,DONE,D,Yes
S10857,Science,Show single part.,9/15/2024,not done,A, 
S03736,History,Miss.,1/30/2025,done,D,No
S08762,Arabic,Herself option agree mother.,12/13/2024,not done,C,No
S02699,Math,Answer send.,9/25/2024,Done ,A+,Yes
S11689,Science,Cut entire wear.,11/29/2024,not done,B, 
S00930,Arabic,Single same far mission.,9/16/2024,Done ,C,No
S05750,Geography,Future impact really.,12/29/2024, Done ,A+,No
S08725,Science,Way officer.,1/6/2025,PENDING,B,Yes
S05506,English,Show represent own.,11/18/2024,Pending,C-,No
S08009,Arabic,Million miss.,11/19/2024,NOT DONE,F,Yes
S09409,Arabic,Meet marriage us.,12/9/2024,Done,D,No
S05536,History,Good true near war.,10/10/2024,done,B-,No
S10522,Geography,Can idea.,1/31/2025,done,B, 
S00952,History,Them also author.,12/24/2024,notdone,B-, 
S09145,Science,Force fact.,10/13/2024,DONE,A+,Yes
S00171,History,Attorney century.,2/27/2025,pending,C,Yes
S01193,Arabic,Free over rule.,12/26/2024,not done,B, 
S11567,Geography,When carry.,2/19/2025,notdone,B-,Yes
S07583,Science,Teach stand food.,1/16/2025,Done,A, 
S02886,English,Member our.,1/18/2025,done,A, 
S00547,Science,Response out.,12/4/2024,PENDING,B,No
S08280,Arabic,Guess common huge.,12/2/2024, pending ,A, 
S01820,Science,Until them.,1/11/2025,PENDING,C-,No
S08205,Geography,Brother husband.,10/5/2024,Done ,A+, 
S09061,Math,Say window.,2/14/2025,NOT DONE,B-, 
S03487,Math,Cold certain adult.,11/12/2024,DONE,A+,Yes
S10199,Science,History player pick.,11/18/2024,Done,D,Yes
S04175,History,Yes use begin.,9/8/2024,pending,B,No
S02003,English,Statement happen summer.,10/14/2024, Done ,C,No
S07791,History,Whom assume television.,11/28/2024, Done ,A+, 
S01262,Arabic,Help good.,11/17/2024,DONE,B, 
S11158,Geography,Piece traditional.,2/7/2025,DONE,A+,No
S04532,Science,Family Congress easy.,2/23/2025, not done ,B-,No
S07445,Math,Win for.,2/26/2025,DONE,A+,Yes
S05831,Arabic,Little foreign front.,3/6/2025, Done ,B-,No
S11181,Arabic,Fall region.,2/16/2025,Done,A+,No
S03361,Science,At into.,11/2/2024,Not Done,D,Yes
S04271,English,Speak ability central.,2/2/2025,done,A+,No
S03861,History,Record.,3/6/2025,done,A, 
S10597,Geography,Expect join himself on.,10/11/2024, not done ,B, 
S09878,Arabic,Any.,1/16/2025, not done ,A+,Yes
S12020,History,Charge least.,12/23/2024,NOT DONE,B-, 
S08175,History,Realize total.,12/2/2024,done,A+,Yes
S09125,History,Behind near.,1/13/2025,notdone,F, 
S06591,Science,Resource tax their.,10/5/2024, pending ,A+, 
S03229,History,Truth face black.,11/29/2024,done,C-, 
S09165,History,Decision move.,11/21/2024,pending,C-,Yes
S09959,Geography,Nearly very home.,1/5/2025,done,D,Yes
S09318,Science,Term scientist serious.,9/11/2024, not done ,C-,Yes
S10300,Arabic,Stuff.,12/31/2024, not done ,C-,Yes
S10231,History,Word stage seat.,2/24/2025,not done,B,Yes
S10308,Math,Field safe former debate.,10/19/2024,not done,B,No
S11308,English,Field degree.,12/1/2024,not done,F, 
S05018,Arabic,Air fact general.,2/24/2025,Pending,B,No
S11166,Science,And call.,11/15/2024,pending,B-, 
S00812,Arabic,Surface.,1/1/2025, pending ,B,No
S11170,Geography,Put kitchen.,1/5/2025,Done ,B-,Yes
S00903,Math,Area role.,1/5/2025,notdone,A+,Yes
S07346,Science,Who hit down.,9/19/2024, Done ,D,No
S04362,Science,Or player.,10/14/2024,not done,A+,No
S07240,Science,Member head never.,12/15/2024, not done ,A+,No
S02967,Science,Price win present.,9/8/2024,DONE,D, 
S02428,Geography,Case.,10/18/2024,Done ,C-,Yes
S06324,English,Nation report.,10/25/2024,notdone,B,Yes
S02510,Geography,Rise me finish.,10/24/2024,Pend,B-, 
S00564,Arabic,Discuss admit.,12/12/2024, not done ,A,Yes
S00222,English,Interest top.,11/8/2024,DONE,A,Yes
S05117,Geography,Heart political ahead.,1/20/2025,Done,C,Yes
S03206,Science,Stock reason.,1/30/2025,Done,D, 
S04894,Science,Bad discuss.,2/22/2025,Done ,C, 
S02576,Science,Able Mrs model.,1/8/2025, Done ,A+,Yes
S09085,Geography,Protect house anything others.,1/30/2025,Done,A+,No
S02153,Science,Behavior similar show light.,12/14/2024,NOT DONE,B-,No
S03294,Geography,Decision group gas.,1/10/2025,Done ,B-,Yes
S11200,Arabic,Science.,12/15/2024,Done ,F, 
S04048,Arabic,Less car decide.,10/13/2024,notdone,C,Yes
S11698,Math,Oil enter.,11/4/2024,Done,A+, 
S10587,History,Play above.,10/19/2024, not done ,B-,No
S06793,English,Also three skill.,9/20/2024,DONE,F,No
S06351,English,Various do team.,10/16/2024,Pending,D, 
S03902,Science,Newspaper old.,1/5/2025,not done,F,No
S02779,History,Entire TV.,2/26/2025,DONE,B-,Yes
S09816,History,Others quickly.,2/20/2025,Done ,F, 
S10873,Science,Hair offer brother.,1/18/2025,NOT DONE,D, 
S05449,Math,Door.,10/26/2024,Done ,B, 
S10018,Arabic,All meet.,12/10/2024,done,B-,Yes
S07481,English,Affect.,2/15/2025, Done ,D, 
S04581,Arabic,Live success.,9/26/2024, Done ,A+, 
S02238,Geography,Rise medical structure.,12/10/2024,DONE,D, 
S09131,Math,Music hope.,12/18/2024, Done ,C-, 
S00072,Geography,Shake throughout.,11/9/2024, Done ,C, 
S09293,English,Case plant.,9/8/2024,Done,B,No
S11057,English,Office young bank whom.,12/20/2024,Done ,C,Yes
S05299,Geography,Particular knowledge already.,2/27/2025,done,D,Yes
S02727,Math,Send day without.,11/14/2024, Done ,B,Yes
S10432,History,Two fine.,2/7/2025, Done ,A+, 
S07178,History,Name mission reach night.,10/25/2024,DONE,D, 
S04260,Geography,Market much.,9/15/2024, not done ,C,No
S07751,English,Watch late reveal mouth.,10/17/2024, Done ,A,No
S07686,History,Five most.,12/12/2024,DONE,A, 
S05883,Math,Window daughter.,12/14/2024, Done ,B-,No
S08558,Science,Quite determine.,2/9/2025,DONE,C,No
S07397,Arabic,Really house.,11/30/2024,not done,F,No
S06471,Arabic,Good along.,2/21/2025,not done,D, 
S08852,Geography,Myself move.,9/15/2024,not done,C-,No
S10263,Math,Staff now grow.,11/25/2024,NOT DONE,A, 
S05730,Math,Put woman.,12/2/2024,done,C,Yes
S02221,Geography,Country learn.,11/3/2024,Done,F,No
S09452,Science,Cell.,12/31/2024,DONE,F,Yes
S06760,Arabic,Federal.,2/20/2025,Done,B-,Yes
S11354,English,Decide century almost.,1/24/2025, Done ,F,Yes
S08695,Geography,Cut include couple.,1/24/2025,Done,C,Yes
S05931,History,Already school.,1/16/2025,pending,C-, 
S07480,History,To around.,12/25/2024,Done,A,No
S03783,Arabic,Themselves over national.,10/23/2024, Done ,A,Yes
S01869,Geography,Wind everyone.,1/22/2025,Not Done,C-, 
S04403,Math,Focus figure.,10/11/2024,DONE,F, 
S10265,Math,Drive every.,12/24/2024,DONE,A+,No
S10676,Geography,Perform woman seat.,12/2/2024,pending,B-,No
S02931,English,Ball board.,1/10/2025,Done,D, 
S01616,Math,While share impact.,10/1/2024, Done ,C,No
S11761,English,On beyond.,12/24/2024,notdone,C-,Yes
S01338,History,Wife real matter.,1/22/2025, Done ,B-,Yes
S05220,Arabic,Resource nation soldier.,2/15/2025,not done,A+,Yes
S01949,Geography,Produce physical.,9/13/2024,Not Done,F,Yes
S02936,Science,Million site.,10/17/2024, Done ,B-, 
S04678,History,Week during.,12/2/2024,not done,F,Yes
S02485,Geography,Coach you treat white.,2/9/2025,Done ,B,Yes
S04696,Geography,Option common.,1/1/2025, Done ,A, 
S10441,Science,Carry same law.,9/24/2024,NOT DONE,A+,Yes
S06494,History,Four eat image.,2/9/2025, not done ,B,Yes
S06169,Science,Car indicate.,2/26/2025,PENDING,C,Yes
S01730,Arabic,Project fall.,2/6/2025,DONE,A,Yes
S07481,Science,Natural plan.,11/22/2024,DONE,C, 
S07715,History,Foreign leader various especially.,12/14/2024,done,F, 
S00493,English,I tell.,12/8/2024, pending ,C, 
S02902,English,Dream chair.,12/31/2024,Pend,A+,Yes
S06472,Math,Model himself environment most.,12/24/2024,done,B-, 
S11846,Math,Until arrive growth.,9/12/2024,Pending,B-,No
S08832,Science,Design onto letter.,10/14/2024,Done ,A+,Yes
S07964,Geography,Your call.,12/8/2024,notdone,F,Yes
S09077,Math,Prepare must perform.,2/8/2025,Pending,A+,Yes
S01018,History,Record year carry.,10/5/2024,Pending,D,No
S07659,History,Identify skin purpose.,12/26/2024,DONE,C-,Yes
S11004,Geography,Car.,12/17/2024,DONE,A,Yes
S01237,Math,Oil hear north.,2/4/2025, Done ,C,No
S01395,Science,Carry be again wear.,3/8/2025,NOT DONE,D,Yes
S00079,Math,Here matter since.,10/2/2024,Not Done,D, 
S00244,English,Son along.,9/10/2024,DONE,B,No
S03773,Science,Civil various.,2/13/2025, not done ,C,No
S00515,Geography,Keep determine trade.,10/25/2024,NOT DONE,D,No
S11309,Science,Court treatment.,1/7/2025,Done ,D, 
S10264,English,Face heart prepare.,11/21/2024,notdone,B,Yes
S07787,Math,Many remain try according.,11/19/2024, Done ,B-,No
S06903,Science,Dark leg memory.,2/25/2025,Done ,A, 
S08661,Math,Section identify politics human.,12/4/2024,NOT DONE,A, 
S03020,Science,Huge pass tend.,1/27/2025,Done ,C,Yes
S09222,History,Wind.,12/31/2024, not done ,C-, 
